n,Tiempo_1
2,6.2e-05
10,0.000187
32,0.001456
55,0.011118
77,0.027382
100,0.053634
200,0.287014
291,0.721808
400,0.848594
500,1.056406
600,1.364018
700,1.662723
800,2.172365
900,2.815616
933,3.05952
1100,4.605746
1200,5.767182
1300,7.124442
1400,8.731936
1550,11.648478
1700,15.237343
1850,19.531566
2000,25.852813
2100,31.824058
2200,40.472346
2300,61.554818
2400,60.686324
2500,71.355181
2750,105.00957
3000,142.750309
