n,Tiempo_1,Tiempo_2
4096,0.00018,0.000451
6144,0.000271,0.000677
8192,0.00036,0.000902
12288,0.00054,0.001348
16384,0.000726,0.00173
32768,0.001386,0.003409
65536,0.002781,0.006801
98304,0.004118,0.01009
131072,0.005493,0.013422
163840,0.006671,0.016722
196608,0.008084,0.019916
262144,0.010846,0.026301
327680,0.013447,0.032681
524288,0.021188,0.052482
786432,0.031663,0.079379
917504,0.036686,0.092356
1048576,0.042182,0.106379
1310720,0.05235,0.132767
1742848,0.069996,0.178141
