n,Tiempo_1
2,7.9e-05
10,0.000518
32,0.009039
55,0.079799
77,0.206482
100,0.419062
200,0.879327
291,1.367941
400,2.273291
500,3.7661
600,5.967795
700,9.048821
800,13.1305
900,18.377271
933,20.353626
1100,32.879093
1200,42.454056
1300,53.817659
1400,67.047918
1550,91.39014
1700,119.453905
1850,153.218891
2000,195.462778
2100,227.560383
2200,261.044056
2300,335.262679
2400,343.333779
2500,389.979349
2750,524.437012
3000,677.064149
