n,Tiempo_1
2,5.8e-05
10,0.000621
32,0.010486
55,0.046716
77,0.121096
100,0.256209
200,0.973133
291,1.632134
400,2.857821
500,4.311397
600,6.253455
700,9.023226
800,12.775312
900,17.536368
933,19.263843
1100,30.641947
1200,39.262465
1300,49.716811
1400,61.341993
1550,83.669753
1700,108.803315
1850,125.373609
2000,160.149463
2100,187.357959
2200,215.410098
2300,284.632308
2400,287.714754
2500,328.281446
2750,444.928508
3000,575.398802
