n,Tiempo_1
4096,2e-06
6144,2e-06
8192,2e-06
12288,3e-06
16384,3e-06
32768,1e-05
65536,2e-05
98304,3e-05
131072,4e-05
163840,4.5e-05
196608,6e-05
262144,9.6e-05
327680,0.000133
524288,0.000253
786432,0.000385
917504,0.000461
1048576,0.000526
1310720,0.000647
1742848,0.000859
1802240,0.000871
1911728,0.000899
2097152,0.000929
3145728,0.001356
4194304,0.001715
8388608,0.003262
12582912,0.004829
16777216,0.006422
20971520,0.00804
33554432,0.012868
67108864,0.025785
134217728,0.051917
