n,Tiempo_1
4096,1e-06
6144,1e-06
8192,2e-06
12288,2e-06
16384,2e-06
32768,7e-06
65536,1.3e-05
98304,1.9e-05
131072,2.4e-05
163840,3.2e-05
196608,4.6e-05
262144,6.5e-05
327680,0.000118
524288,0.000222
786432,0.000337
917504,0.000396
1048576,0.000457
1310720,0.000568
1742848,0.000776
1802240,0.000743
1911728,0.000842
2097152,0.000938
3145728,0.001289
4194304,0.001596
8388608,0.003036
12582912,0.004386
16777216,0.005773
20971520,0.007161
33554432,0.011348
67108864,0.022587
134217728,0.044906
