n,Tiempo_1,Tiempo_2
4096,0.000258,0.000652
6144,0.000388,0.000977
8192,0.000521,0.001297
12288,0.000779,0.00195
16384,0.001044,0.002612
32768,0.002073,0.005189
65536,0.004176,0.010455
98304,0.006248,0.015696
131072,0.008328,0.020912
163840,0.010416,0.02614
196608,0.012481,0.031357
262144,0.016604,0.041774
327680,0.019555,0.050527
524288,0.031327,0.078966
786432,0.048208,0.120018
917504,0.054828,0.1383
1048576,0.062495,0.156898
1310720,0.078203,0.197286
1742848,0.103892,0.264366
1802240,0.107527,0.269722
1911728,0.114047,0.286291
2097152,0.125132,0.313956
3145728,0.187579,0.476249
4194304,0.249935,0.637331
8388608,0.495495,1.27454
12582912,0.733405,1.916605
16777216,0.973445,2.550974
20971520,1.21041,3.192323
33554432,1.935305,5.113085
67108864,3.886293,10.246488
134217728,7.823702,20.527439
