n,Tiempo_1
4096,0.056329
6144,0.126716
8192,0.224848
12288,0.507245
16384,0.900154
32768,3.596978
65536,14.385168
98304,32.367029
131072,57.54031
163840,89.917176
196608,129.454938
262144,230.142046
327680,359.627535
524288,920.511192
786432,2071.353982
917504,2819.384952
1048576,3682.180936
1310720,5752.741274
1742848,10171.101702
