n,Tiempo_1
4096,1.1e-05
6144,1.6e-05
8192,2.1e-05
12288,3.1e-05
16384,4.1e-05
32768,8.2e-05
65536,0.000156
98304,0.000234
131072,0.000312
163840,0.000396
196608,0.000477
262144,0.000643
327680,0.000798
524288,0.001268
786432,0.001896
917504,0.002139
1048576,0.002366
1310720,0.002818
1742848,0.00373
1802240,0.003751
1911728,0.004113
2097152,0.004393
3145728,0.006559
4194304,0.008765
8388608,0.017377
12582912,0.025664
16777216,0.03498
20971520,0.043407
33554432,0.069976
67108864,0.139904
134217728,0.282573
