n,Tiempo_1
2,5.8e-05
10,0.000176
32,0.001322
55,0.010458
77,0.027341
100,0.053645
200,0.286953
291,0.7218
400,0.848642
500,1.056406
600,1.249967
700,1.583379
800,2.036904
900,2.626864
933,2.847091
1100,4.253838
1200,5.332398
1300,6.564731
1400,8.04181
1550,10.734697
1700,13.927342
1850,17.854792
2000,23.80004
2100,28.616536
2200,35.412996
2300,55.00094
2400,55.207888
2500,65.228246
2750,96.225152
3000,130.967291
