n,Tiempo_1
2,1.4e-05
10,0.000123
55,0.001363
100,0.005245
200,0.030978
291,0.082668
400,0.192549
500,0.427528
600,0.784523
700,1.737112
800,2.101096
900,2.974062
933,3.345874
1100,5.747895
1200,8.177026
1300,10.825951
1400,19.361495
1550,20.627276
1700,30.586555
1850,53.686511
2000,56.61286
