n,Tiempo_1,Tiempo_2
4096,7.8e-05,0.00018
6144,8.2e-05,0.000189
8192,0.000113,0.000264
12288,0.000238,0.000565
16384,0.000328,0.000756
32768,0.000651,0.00152
65536,0.001374,0.003099
98304,0.00202,0.004528
131072,0.00266,0.005869
163840,0.003333,0.007162
196608,0.003736,0.008353
262144,0.004862,0.010691
327680,0.005914,0.012812
524288,0.008671,0.018323
786432,0.012,0.025266
917504,0.013464,0.029101
1048576,0.014966,0.033202
1310720,0.017483,0.040933
1742848,0.022599,0.054493
