# Resultados DWT_1D
# Referencia: dwt_1d_FP32_n15000_seed1234
# Procesado: dwt_1d_BF16_n15000_seed1234
Comparación,Ejecución,Pearson_aprox,Pearson_detail
dwt_1d_BF16_n15000_seed1234,1,0.99996548,0.99999035
dwt_1d_BF16_n15000_seed1234,2,0.99994070,0.99997804
