# Resultados DWT_1D
# Referencia: dwt_1d_FP32_n15000_seed1234
# Procesado: dwt_1d_FP16_ARM_n15000_seed1234
Comparación,Ejecución,Pearson
dwt_1d_FP16_ARM_n15000_seed1234,1,0.99999985
dwt_1d_FP16_ARM_n15000_seed1234,2,0.99999979
