# Resultados PCA
# Referencia: pca_FP32_n1000_seed1234
Configuración,MSE
pca_FP16_n1000_seed1234,1.26825756
pca_FP16_ARM_n1000_seed1234,1.10489937
pca_BF16_n1000_seed1234,2.22397022
