# Resultados OPERACION
# Referencia: source_pca_reimpl_FP32_n1000_seed1234
Configuración,MSE
source_pca_reimpl_FP16_n1000_seed1234,0.00000160
source_pca_reimpl_FP16_ARM_n1000_seed1234,0.00000160
source_pca_reimpl_BF16_n1000_seed1234,0.00010213
