n,Tiempo_1 (s)
2,7.2e-05
4,0.000153
8,0.00028
16,0.000813
32,0.003735
64,0.032934
128,0.120612
256,0.529313
512,1.664963
1024,5.140816
2048,61.370833
4096,707.406997
