n,Tiempo_1 (s)
735473,0.000302
737477,0.000313
739481,0.000308
741485,0.000316
743489,0.000346
745493,0.000317
747497,0.000301
749501,0.000308
751505,0.000302
753509,0.000316
755513,0.000315
757517,0.000323
759521,0.000328
761525,0.000315
763529,0.000338
765533,0.000297
767537,0.000292
769541,0.000318
771545,0.000335
773549,0.000328
775553,0.000346
777557,0.000331
779561,0.000322
781565,0.00035
783569,0.000331
785573,0.000334
787577,0.000346
789581,0.000329
791585,0.000338
793589,0.000345
795593,0.00033
797597,0.000344
799601,0.000322
801605,0.000343
803609,0.000345
805613,0.000327
807617,0.000336
809621,0.000335
811625,0.000352
813629,0.000352
815633,0.000351
817637,0.000337
819641,0.000277
821645,0.000348
823649,0.000357
825653,0.000341
827657,0.000356
829661,0.000354
831665,0.000351
833668,0.00034
835672,0.000362
837676,0.000354
839680,0.000351
841684,0.000357
843688,0.000356
845692,0.000351
847696,0.000358
849700,0.000351
851704,0.000367
853708,0.000343
855712,0.000355
857716,0.000373
859720,0.000365
861724,0.000358
863728,0.000357
865732,0.000371
867736,0.000361
869740,0.000373
871744,0.000369
873748,0.000373
875752,0.000359
877756,0.000368
879760,0.000373
881764,0.000367
883768,0.000375
885772,0.000355
887776,0.000378
889780,0.000372
891784,0.000378
893788,0.00038
895792,0.000375
897796,0.000378
899800,0.000407
901804,0.000389
903808,0.000381
905812,0.000376
907816,0.000385
909820,0.000393
911824,0.00039
913828,0.000392
915832,0.000412
917836,0.000369
919840,0.000377
921844,0.000405
923848,0.00041
925852,0.000388
927856,0.000387
929860,0.000392
931864,0.000384
933868,0.000401
935872,0.00041
937876,0.000391
939880,0.000389
941884,0.000405
943888,0.0004
945892,0.000416
947896,0.000393
949900,0.0004
951904,0.000411
953908,0.000399
955912,0.000409
957916,0.000421
959920,0.000398
961924,0.000406
963928,0.000394
965932,0.000402
967936,0.000396
969940,0.000414
971944,0.000412
973948,0.000425
975952,0.000412
977956,0.000419
979960,0.000421
981964,0.000416
983968,0.000421
985972,0.000426
987976,0.000415
989980,0.000425
991984,0.000421
993988,0.000417
995992,0.000432
997996,0.000421
1000000,0.000435
