n,Tiempo_1
4096,0.157409
6144,0.357606
8192,0.629729
12288,1.436838
16384,2.54436
32768,10.550273
65536,42.113257
98304,95.721596
131072,168.311345
163840,265.106262
196608,382.801334
262144,672.526427
327680,1060.233722
524288,2687.066314
786432,6135.668333
917504,8604.567093
1048576,11114.088785
1310720,17604.894002
1742848,31197.693071
