n,Tiempo_1
2,4e-05
10,0.000246
32,0.002325
55,0.009395
77,0.023507
100,0.050659
200,0.347405
291,1.049369
400,1.565545
500,1.804049
600,2.158821
700,2.473579
800,3.023779
900,3.725365
933,3.980288
1100,5.599822
1200,6.844603
1300,8.30111
1400,10.040371
1550,13.15119
1700,17.049182
1850,21.648655
2000,28.414496
2100,35.155889
2200,43.295642
2300,66.138133
2400,68.333386
2500,81.467645
2750,120.31696
3000,164.677831
