n,Tiempo_1,Tiempo_2
4096,4.5e-05,6.7e-05
6144,6.8e-05,0.000101
8192,9.6e-05,0.000135
12288,0.000142,0.000203
16384,0.000183,0.00027
32768,0.000403,0.000612
65536,0.000777,0.001241
98304,0.001171,0.001863
131072,0.001555,0.002494
163840,0.00194,0.003109
196608,0.002334,0.003744
262144,0.003138,0.004988
327680,0.003977,0.006242
524288,0.0065,0.010055
786432,0.00964,0.015224
917504,0.01132,0.017827
1048576,0.012856,0.020369
1310720,0.015957,0.025515
1742848,0.020474,0.032944
1802240,0.021363,0.034118
1911728,0.022502,0.03619
2097152,0.024667,0.039733
3145728,0.037061,0.059827
4194304,0.049352,0.079923
8388608,0.095293,0.15904
12582912,0.143234,0.239108
16777216,0.190248,0.316423
20971520,0.237992,0.396052
33554432,0.374126,0.63917
67108864,0.747081,1.301808
134217728,1.52044,2.621608
