n,Tiempo_1,Tiempo_2
4096,0.000181,0.000454
6144,0.000271,0.000679
8192,0.00036,0.000906
12288,0.00054,0.001355
16384,0.000715,0.001737
32768,0.001413,0.003385
65536,0.002741,0.006784
98304,0.004042,0.010101
131072,0.005331,0.013375
163840,0.006701,0.016638
196608,0.008006,0.019896
262144,0.0107,0.026781
327680,0.01335,0.033375
524288,0.021039,0.053762
786432,0.031678,0.081177
917504,0.036665,0.094675
1048576,0.042106,0.108822
1310720,0.052737,0.136262
1742848,0.070291,0.181847
1802240,0.073273,0.189363
1911728,0.077985,0.200996
2097152,0.085417,0.220746
3145728,0.128819,0.331438
4194304,0.172433,0.444189
8388608,0.346528,0.888596
12582912,0.799377,2.009425
16777216,1.066063,2.681019
20971520,1.332306,3.354556
33554432,2.13173,5.362479
67108864,3.192188,8.414975
134217728,6.428262,16.83548
