# Resultados OPERACION
# Referencia: source_pca_reimpl_FP32_n1000_seed1234
Configuración,NRMSE
source_pca_reimpl_FP16_n1000_seed1234,0.00012635
source_pca_reimpl_BF16_n1000_seed1234,0.00101061
