n,Speedup_1,Speedup_2
4096,0.7692307692307693,0.6388888888888888
6144,1.048780487804878,0.9153439153439153
8192,1.0707964601769913,0.9053030303030303
12288,0.861344537815126,0.7592920353982302
16384,0.9146341463414633,0.8888888888888887
32768,1.1367127496159755,1.0210526315789472
65536,1.1215429403202328,1.0212971926427878
98304,1.0777227722772278,0.9856448763250883
131072,1.081578947368421,0.970011927074459
163840,1.0495049504950495,0.9731918458531136
196608,1.0864561027837258,0.9790494433137795
262144,1.0717811600164542,0.969226452156019
327680,1.0769360838687858,0.9733843271932563
524288,1.1066774305155116,0.9854827266277357
786432,1.054,0.976569302620122
917504,1.024881164587047,0.9625786055462011
1048576,1.0138313510624082,0.9583458827781458
1310720,1.0327174969970832,0.9666772530720935
1742848,1.0295145802911632,0.9602334244765383
