n,Speedup_1
4096,1.0
6144,2.0
8192,2.0
12288,2.333333333333333
16384,1.75
32768,1.6666666666666667
65536,2.125
98304,1.9583333333333333
131072,2.0
163840,2.0
196608,1.9302325581395348
262144,1.962962962962963
327680,2.0793650793650795
524288,2.2371134020618557
786432,2.2097902097902096
917504,2.4302325581395348
1048576,2.5
1310720,2.6550387596899223
1742848,2.5027027027027025
