n,Speedup_1
4096,0.375
6144,0.36363636363636365
8192,0.21052631578947367
12288,0.25
16384,0.25
32768,0.20833333333333334
65536,0.22516556291390727
98304,0.21962616822429906
131072,0.22393822393822393
163840,0.22291021671826627
196608,0.22015915119363394
262144,0.21810699588477367
327680,0.22664359861591699
524288,0.2543962485345838
786432,0.2793987621573828
917504,0.32887490165224237
1048576,0.35220994475138123
1310720,0.3774104683195592
1742848,0.38375466224616656
