n,Tiempo_1
4096,0.000201
6144,0.000266
8192,0.000356
12288,0.000814
16384,0.001095
32768,0.002282
65536,0.00414
98304,0.005907
131072,0.007656
163840,0.00922
196608,0.010723
262144,0.013485
327680,0.01589
524288,0.022953
786432,0.033799
917504,0.039464
1048576,0.045213
1310720,0.056463
1742848,0.074776
