n,Tiempo_1
4096,8e-06
6144,1.1e-05
8192,1.9e-05
12288,2.8e-05
16384,2.8e-05
32768,7.2e-05
65536,0.000151
98304,0.000214
131072,0.000259
163840,0.000323
196608,0.000377
262144,0.000486
327680,0.000578
524288,0.000853
786432,0.001131
917504,0.001271
1048576,0.001448
1310720,0.001815
1742848,0.002413
