n,Tiempo_1
2,2e-05
10,9.8e-05
55,0.010417
100,0.045071
200,0.230241
291,0.683531
400,1.749832
500,3.394265
600,5.85365
700,9.283949
800,13.841323
900,19.691317
933,21.91129
1100,35.909872
1200,46.671192
1300,59.593797
1400,73.777314
1550,101.431926
1700,132.117855
1850,169.32528
2000,214.506629
