n,Tiempo_1
2,1.3e-05
10,0.000124
55,0.001376
100,0.005365
200,0.030777
291,0.081621
400,0.191028
500,0.429769
600,0.782798
700,1.725132
800,2.108099
900,2.979118
933,3.371649
1100,5.872774
1200,8.136484
1300,10.886679
1400,19.269351
1550,20.708234
1700,29.83635
1850,53.065792
2000,56.634943
