n,Tiempo_1,Tiempo_2
4096,6e-05,0.000115
6144,8.6e-05,0.000173
8192,0.000121,0.000239
12288,0.000205,0.000429
16384,0.0003,0.000672
32768,0.00074,0.001552
65536,0.001541,0.003165
98304,0.002177,0.004463
131072,0.002877,0.005693
163840,0.003498,0.00697
196608,0.004059,0.008178
262144,0.005211,0.010362
327680,0.006369,0.012471
524288,0.009596,0.018057
786432,0.012648,0.024674
917504,0.013799,0.028012
1048576,0.015173,0.031819
1310720,0.018055,0.039569
1742848,0.023266,0.052326
