n,Tiempo_1
4096,3e-06
6144,2e-06
8192,2e-06
12288,3e-06
16384,4e-06
32768,9e-06
65536,1.6e-05
98304,2.4e-05
131072,2.9e-05
163840,3.6e-05
196608,4.3e-05
262144,5.4e-05
327680,6.3e-05
524288,9.7e-05
786432,0.000143
917504,0.000172
1048576,0.000204
1310720,0.000258
1742848,0.00037
