n,Tiempo_1
2,1.4e-05
10,3.2e-05
55,0.000533
100,0.002292
200,0.013809
291,0.041167
400,0.088063
500,0.229628
600,0.445405
700,1.205313
800,1.240457
900,1.852463
933,2.077033
1100,3.687693
1200,5.152955
1300,7.026051
1400,14.6298
1550,14.367675
1700,20.463815
1850,42.0187
2000,41.265458
