# Resultados AXPY
# Referencia: axpy_FP32_n15000_seed1234
Comparación,Execución,MSE
axpy_FP16_n15000_seed1234 vs axpy_FP32_n15000_seed1234,1,0.00003565
axpy_FP16_ARM_n15000_seed1234 vs axpy_FP32_n15000_seed1234,1,0.00002497
axpy_BF16_n15000_seed1234 vs axpy_FP32_n15000_seed1234,1,0.00150035
