# Resultados PCA
# Referencia: pca_FP32_n1000_seed1234
Configuración,NRMSE
pca_FP16_n1000_seed1234,0.07374280
pca_FP16_ARM_n1000_seed1234,0.06882992
pca_BF16_n1000_seed1234,0.09765183
