# Resultados PCA
# Referencia: pca_reimpl_FP32_n1000_seed1234
Configuración,NRMSE
pca_reimpl_FP16_n1000_seed1234,0.09286093
pca_reimpl_FP16_ARM_n1000_seed1234,0.09286214
pca_reimpl_BF16_n1000_seed1234,0.09762414
