n,Tiempo_1 (s)
2,1e-06
4,0.0
8,0.0
16,1e-06
32,0.0
64,0.0
128,0.0
256,1e-06
512,0.0
1024,1e-06
2048,1e-06
4096,2e-06
8192,1e-06
16384,2e-06
32768,7e-06
65536,1.4e-05
131072,2.4e-05
262144,8.1e-05
524288,0.000199
1048576,0.000435
2097152,0.000909
4194304,0.001499
8388608,0.003037
16777216,0.0062
33554432,0.01237
67108864,0.024687
