# Resultados OPERACION
# Referencia: source_axpy_FP32_n15000_seed1234
Configuración,MAE
source_axpy_FP16_n15000_seed1234,0.00090499
source_axpy_FP16_ARM_n15000_seed1234,0.00090499
source_axpy_BF16_n15000_seed1234,0.00730198
