# Resultados OPERACION
# Referencia: source_pca_reimpl_FP32_n1000_seed1234
Configuración,MAE
source_pca_reimpl_FP16_n1000_seed1234,0.00091079
source_pca_reimpl_FP16_ARM_n1000_seed1234,0.00091079
source_pca_reimpl_BF16_n1000_seed1234,0.00728519
